,Country,GDP,3code,fillKey
0,Afghanistan,700,AFG,HIGH
1,Albania,4500,ALB,HIGH
2,Algeria,6000,DZA,HIGH
3,American Samoa,8000,ASM,HIGH
4,Andorra,19000,AND,HIGH
5,Angola,1900,AGO,HIGH
6,Anguilla,8600,AIA,HIGH
7,Argentina,11200,ARG,HIGH
8,Armenia,3500,ARM,HIGH
9,Aruba,28000,ABW,HIGH
10,Australia,29000,AUS,HIGH
11,Austria,30000,AUT,HIGH
12,Azerbaijan,3400,AZE,HIGH
13,Bahrain,16900,BHR,HIGH
14,Bangladesh,1900,BGD,HIGH
15,Barbados,15700,BRB,HIGH
16,Belarus,6100,BLR,HIGH
17,Belgium,29100,BEL,HIGH
18,Belize,4900,BLZ,HIGH
19,Benin,1100,BEN,HIGH
20,Bermuda,36000,BMU,HIGH
21,Bhutan,1300,BTN,HIGH
22,Bolivia,2400,BOL,HIGH
23,Botswana,9000,BWA,HIGH
24,Brazil,7600,BRA,HIGH
25,Brunei,18600,BRN,HIGH
26,Bulgaria,7600,BGR,HIGH
27,Burkina Faso,1100,BFA,HIGH
28,Burma,1800,MMR,HIGH
29,Burundi,600,BDI,HIGH
30,Cambodia,1900,KHM,HIGH
31,Cameroon,1800,CMR,HIGH
32,Canada,29800,CAN,HIGH
33,Cape Verde,1400,CPV,HIGH
34,Cayman Islands,35000,CYM,HIGH
35,Chad,1200,TCD,HIGH
36,Chile,9900,CHL,HIGH
37,China,5000,CHN,HIGH
38,Colombia,6300,COL,HIGH
39,Comoros,700,COM,HIGH
40,Cook Islands,5000,COK,HIGH
41,Costa Rica,9100,CRI,HIGH
42,Croatia,10600,HRV,HIGH
43,Cuba,2900,CUB,HIGH
44,Cyprus,19200,CYP,HIGH
45,Denmark,31100,DNK,HIGH
46,Djibouti,1300,DJI,HIGH
47,Dominica,5400,DMA,HIGH
48,Dominican Republic,6000,DOM,HIGH
49,Ecuador,3300,ECU,HIGH
50,Egypt,4000,EGY,HIGH
51,El Salvador,4800,SLV,HIGH
52,Equatorial Guinea,2700,GNQ,HIGH
53,Eritrea,700,ERI,HIGH
54,Estonia,12300,EST,HIGH
55,Ethiopia,700,ETH,HIGH
56,Faroe Islands,22000,FRO,HIGH
57,Fiji,5800,FJI,HIGH
58,Finland,27400,FIN,HIGH
59,France,27600,FRA,HIGH
60,French Guiana,8300,GUF,HIGH
61,French Polynesia,17500,PYF,HIGH
62,Gabon,5500,GAB,HIGH
63,Georgia,2500,GEO,HIGH
64,Germany,27600,DEU,HIGH
65,Ghana,2200,GHA,HIGH
66,Gibraltar,17500,GIB,HIGH
67,Greece,20000,GRC,HIGH
68,Greenland,20000,GRL,HIGH
69,Grenada,5000,GRD,HIGH
70,Guadeloupe,8000,GLP,HIGH
71,Guam,21000,GUM,HIGH
72,Guatemala,4100,GTM,HIGH
73,Guernsey,20000,GGY,HIGH
74,Guinea,2100,GIN,HIGH
75,Guinea-Bissau,800,GNB,HIGH
76,Guyana,4000,GUY,HIGH
77,Haiti,1600,HTI,HIGH
78,Honduras,2600,HND,HIGH
79,Hong Kong,28800,HKG,HIGH
80,Hungary,13900,HUN,HIGH
81,Iceland,30900,ISL,HIGH
82,India,2900,IND,HIGH
83,Indonesia,3200,IDN,HIGH
84,Iraq,1500,IRQ,HIGH
85,Ireland,29600,IRL,HIGH
86,Isle of Man,21000,IMN,HIGH
87,Israel,19800,ISR,HIGH
88,Italy,26700,ITA,HIGH
89,Japan,28200,JPN,HIGH
90,Jersey,24800,JEY,HIGH
91,Jordan,4300,JOR,HIGH
92,Kazakhstan,6300,KAZ,HIGH
93,Kenya,1000,KEN,HIGH
94,Kiribati,800,KIR,HIGH
95,Kuwait,19000,KWT,HIGH
96,Kyrgyzstan,1600,KGZ,HIGH
97,Latvia,10200,LVA,HIGH
98,Lebanon,4800,LBN,HIGH
99,Lesotho,3000,LSO,HIGH
100,Liberia,1000,LBR,HIGH
101,Libya,6400,LBY,HIGH
102,Liechtenstein,25000,LIE,HIGH
103,Lithuania,11400,LTU,HIGH
104,Luxembourg,55100,LUX,HIGH
105,Madagascar,800,MDG,HIGH
106,Malawi,600,MWI,HIGH
107,Malaysia,9000,MYS,HIGH
108,Maldives,3900,MDV,HIGH
109,Mali,900,MLI,HIGH
110,Malta,17700,MLT,HIGH
111,Marshall Islands,1600,MHL,HIGH
112,Martinique,14400,MTQ,HIGH
113,Mauritania,1800,MRT,HIGH
114,Mauritius,11400,MUS,HIGH
115,Mayotte,2600,MYT,HIGH
116,Mexico,9000,MEX,HIGH
117,Monaco,27000,MCO,HIGH
118,Mongolia,1800,MNG,HIGH
119,Montserrat,3400,MSR,HIGH
120,Morocco,4000,MAR,HIGH
121,Mozambique,1200,MOZ,HIGH
122,Namibia,7200,NAM,HIGH
123,Nauru,5000,NRU,HIGH
124,Nepal,1400,NPL,HIGH
125,Netherlands,28600,NLD,HIGH
126,Netherlands Antilles,11400,ANT,HIGH
127,New Caledonia,15000,NCL,HIGH
128,New Zealand,21600,NZL,HIGH
129,Nicaragua,2300,NIC,HIGH
130,Niger,800,NER,HIGH
131,Nigeria,900,NGA,HIGH
132,Norway,37800,NOR,HIGH
133,Oman,13100,OMN,HIGH
134,Pakistan,2100,PAK,HIGH
135,Palau,9000,PLW,HIGH
136,Panama,6300,PAN,HIGH
137,Papua New Guinea,2200,PNG,HIGH
138,Paraguay,4700,PRY,HIGH
139,Peru,5100,PER,HIGH
140,Philippines,4600,PHL,HIGH
141,Poland,11100,POL,HIGH
142,Portugal,18000,PRT,HIGH
143,Puerto Rico,16800,PRI,HIGH
144,Qatar,21500,QAT,HIGH
145,Romania,7000,ROU,HIGH
146,Russia,8900,RUS,HIGH
147,Rwanda,1300,RWA,HIGH
148,Saint Lucia,5400,LCA,HIGH
149,Saint Vincent and the Grenadines,2900,VCT,HIGH
150,Samoa,5600,WSM,HIGH
151,San Marino,34600,SMR,HIGH
152,Saudi Arabia,11800,SAU,HIGH
153,Senegal,1600,SEN,HIGH
154,Serbia,2200,SRB,HIGH
155,Sierra Leone,500,SLE,HIGH
156,Singapore,23700,SGP,HIGH
157,Slovakia,13300,SVK,HIGH
158,Slovenia,19000,SVN,HIGH
159,Solomon Islands,1700,SLB,HIGH
160,Somalia,500,SOM,HIGH
161,South Africa,10700,ZAF,HIGH
162,Spain,22000,ESP,HIGH
163,Sri Lanka,3700,LKA,HIGH
164,Sudan,1900,SDN,HIGH
165,Swaziland,4900,SWZ,HIGH
166,Sweden,26800,SWE,HIGH
167,Switzerland,32700,CHE,HIGH
168,Taiwan,23400,TWN,HIGH
169,Tajikistan,1000,TJK,HIGH
170,Thailand,7400,THA,HIGH
171,Togo,1500,TGO,HIGH
172,Tonga,2200,TON,HIGH
173,Trinidad & Tobago,9500,TTO,HIGH
174,Tunisia,6900,TUN,HIGH
175,Turkey,6700,TUR,HIGH
176,Turkmenistan,5800,TKM,HIGH
177,Tuvalu,1100,TUV,HIGH
178,Uganda,1400,UGA,HIGH
179,Ukraine,5400,UKR,HIGH
180,United Arab Emirates,23200,ARE,HIGH
181,United Kingdom,27700,GBR,HIGH
182,United States,37800,USA,HIGH
183,Uruguay,12800,URY,HIGH
184,Uzbekistan,1700,UZB,HIGH
185,Vanuatu,2900,VUT,HIGH
186,Venezuela,4800,VEN,HIGH
187,Vietnam,2500,VNM,HIGH
188,Wallis and Futuna,3700,WLF,HIGH
189,Yemen,800,YEM,HIGH
190,Zambia,800,ZMB,HIGH
191,Zimbabwe,1900,ZWE,HIGH
